page_date,location,start_time,end_time,title,event_link,summary,image_url
20250321,"Hunt Library, Fourth Floor",,,Here to Stay: Celebrating 40 Years at the Architecture Archives,https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the,"This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,800,800/38_archarch40_website.rev.1719341395.png"
20250321,,,,Lent / Great Lent,https://events.cmu.edu/event/12499-lent-great-lent,,
20250321,Hunt Library Gallery,,,"Like, Totally Transformative: CMU in the 1980s",https://events.cmu.edu/event/10974-like-totally-transformative-cmu-in-the-1980s,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,591,559/107_2024.8.26_LikeTotally_WebsiteArtboard_1.p_s_.rev.1725542721.jpg"
20250321,,,,Ramadan,https://events.cmu.edu/event/12496-ramadan,,
20250321,,,,Women’s History Month,https://events.cmu.edu/event/12519-womens-history-month,,"https://events.cmu.edu/live/image/gid/9/width/200/height/200/crop/1/src_region/0,0,1200,1200/286_UCM-HM24_Womens-History-Month_Web-1200x1200.rev.1731418872.jpg"
20250322,"Helen Wayne Rauh Studio Theater, Purnell Center fo...",2 p.m.,,CMU Drama Presents: The Inseparables,https://events.cmu.edu/event/12758-cmu-drama-presents-the-inseparables,Puppets. Pool noodles. Putting on a play!,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,630,912/300_The_Inseparables.rev.1731958523.jpg"
20250322,"Helen Wayne Rauh Studio Theater, Purnell Center fo...",8 p.m.,,CMU Drama Presents: The Inseparables,https://events.cmu.edu/event/12759-cmu-drama-presents-the-inseparables,Puppets. Pool noodles. Putting on a play!,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,630,912/300_The_Inseparables.rev.1731958523.jpg"
20250322,,,,(Men’s Tennis) Stevens vs. Carnegie Mellon,https://events.cmu.edu/event/11808-mens-tennis-stevens-vs-carnegie-mellon,,"https://events.cmu.edu/live/image/gid/4/width/200/height/200/crop/1/src_region/0,0,400,400/27_cmu-athletics.rev.1717011793.png"
20250322,"Belonging Center, A-Level of ANSYS Hall",,,EDIE Makeathon,https://events.cmu.edu/event/13662-edie-makeathon,"Looking for a way to grow your entrepreneurial skills, professional network and resume? Apply and join the EDIE Makeathon!","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,2000,2000/519_EDIE_Makeathon_Spring_2025_Square.rev.1740604648.png"
20250322,"Hunt Library, Fourth Floor",,,Here to Stay: Celebrating 40 Years at the Architecture Archives,https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the,"This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,800,800/38_archarch40_website.rev.1719341395.png"
20250322,,,,Lent / Great Lent,https://events.cmu.edu/event/12499-lent-great-lent,,
20250322,Hunt Library Gallery,,,"Like, Totally Transformative: CMU in the 1980s",https://events.cmu.edu/event/10974-like-totally-transformative-cmu-in-the-1980s,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,591,559/107_2024.8.26_LikeTotally_WebsiteArtboard_1.p_s_.rev.1725542721.jpg"
20250322,,,,Ramadan,https://events.cmu.edu/event/12496-ramadan,,
20250322,,,,Women’s History Month,https://events.cmu.edu/event/12519-womens-history-month,,"https://events.cmu.edu/live/image/gid/9/width/200/height/200/crop/1/src_region/0,0,1200,1200/286_UCM-HM24_Womens-History-Month_Web-1200x1200.rev.1731418872.jpg"
20250323,"Well-being Lab (Room 104), Wellness & Meaning-...",8:30,11 a.m.,Heartfulness Weekly Meditation,https://events.cmu.edu/event/12994-heartfulness-weekly-meditation,,"https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,1545,1544/335_Heartfulness_Meditation.pdf.rev.1736275781.png"
20250323,,1,4 p.m.,(Softball) Mount Union vs. Carnegie Mellon,https://events.cmu.edu/event/11803-softball-mount-union-vs-carnegie-mellon,,"https://events.cmu.edu/live/image/gid/4/width/200/height/200/crop/1/src_region/0,0,400,400/27_cmu-athletics.rev.1717011793.png"
20250323,"Carnegie Music Hall, Oakland @ 4400 Forbes Avenue,...",2:30,4:30 p.m.,Carnegie Mellon Wind Ensemble,https://events.time.ly/vdibqnd/43900770,,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/96,0,1374,1280/149_Wind_Ensemble.rev.1726252405.jpg"
20250323,,3,6 p.m.,(Softball) Mount Union vs. Carnegie Mellon,https://events.cmu.edu/event/11804-softball-mount-union-vs-carnegie-mellon,,"https://events.cmu.edu/live/image/gid/4/width/200/height/200/crop/1/src_region/0,0,400,400/27_cmu-athletics.rev.1717011793.png"
20250323,"Hunt Library, Fourth Floor",,,Here to Stay: Celebrating 40 Years at the Architecture Archives,https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the,"This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,800,800/38_archarch40_website.rev.1719341395.png"
20250323,,,,Lent / Great Lent,https://events.cmu.edu/event/12499-lent-great-lent,,
20250323,Hunt Library Gallery,,,"Like, Totally Transformative: CMU in the 1980s",https://events.cmu.edu/event/10974-like-totally-transformative-cmu-in-the-1980s,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,591,559/107_2024.8.26_LikeTotally_WebsiteArtboard_1.p_s_.rev.1725542721.jpg"
20250323,,,,Ramadan,https://events.cmu.edu/event/12496-ramadan,,
20250323,,,,Women’s History Month,https://events.cmu.edu/event/12519-womens-history-month,,"https://events.cmu.edu/live/image/gid/9/width/200/height/200/crop/1/src_region/0,0,1200,1200/286_UCM-HM24_Womens-History-Month_Web-1200x1200.rev.1731418872.jpg"
